title,job_role,companyName,job_location,Job_Summary,post_date,salary,today_date,Job_url
Data Analyst,Data Analyst,Saavn,"Gurgaon, Haryana","Perform hands-on analysis of large volumes of data and across multiple data sets primarily using SQL and Python/R.
Efficient programmer in Python/R and SQL.",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=170014762625c389&fccid=bb4a2038fb497521&vjs=3
Analyst - SQL/VBA,Data Analyst,Eclerx,"Mumbai, Maharashtra+1 location","Query handling for all analysts.
Conducting training for analysts on process activities.
Auditing of work done by analysts & pulling of daily reports.",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=ea28ec5cd2e15e46&fccid=e6a2604cd4491b02&vjs=3
BI Developer,Data Analyst,Hewlett Packard Enterprise,"Bengaluru, Karnataka","Create data models- this includes doing data transformations, writing Power Query Expressions, choosing the best schema that suits the data etc..",PostedPosted 20 days ago,?,2023-03-15,/rc/clk?jk=c6230c4d9a669e34&fccid=216eb700022de6f6&vjs=3
Jr. Data Analyst,Data Analyst,Talent Bee Consulting Pvt Ltd,"Bengaluru, Karnataka","Responsible for maintenance of confidential data.
Automation implementation, huge data confidentiality.
Deep-dive into data trends to identify root causes and…",PostedPosted 30+ days ago,?,2023-03-15,/company/Talent-Bee-Consulting/jobs/Junior-Data-Analyst-e03e8c87820a4449?fccid=87e1d039b97865cc&vjs=3
Data Analyst Trainee,Data Analyst,JASP Labs,"Visakhapatnam, Andhra Pradesh","Provide support in data analytics and BI deployments.
Knowledge of data warehousing concepts is preferred.
Documentation on specifications, data validation and…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=e19a613840bed6ff&fccid=1a75b9d7dfb2e0b9&vjs=3
DBCM Business & Finance Analyst,Data Analyst,Deutsche Bank,"Remote in Pune, Maharashtra","Support ad hoc deep dives (discussion with senior management stakeholders) by analysing complex data sets.
Best in class leave policy.",PostedPosted 13 days ago,?,2023-03-15,/rc/clk?jk=1629c2534bbbbba7&fccid=f1d8e147024abb3f&vjs=3
MIS & Data Analytics,Data Analyst,Megara Infotech,"Gurgaon, Haryana","Maintaining data in Excel (includes Formula (Sum, count, if), Pivot Table,H-Look Up, V-Look Up.
Typing in the English language without spelling mistakes.",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=bb76041c5bb0d77f&fccid=1171e43a882643a9&vjs=3
BDM for Data Analytics,Data Analyst,A for Analytics IT Solutions,"Chennai, Tamil Nadu","A for Analytics is the leading global system Integrator for the last several years in the global Market, offering Business Intelligence, Data Engineering,…",EmployerActive 10 days ago,"₹6,00,000 - ₹10,00,000 a year",2023-03-15,/company/A-for-Analytics-IT-Solutions/jobs/Bdm-Data-Analytic-b93fb376561bba47?fccid=2d6dc4ce83613679&vjs=3
Data Analyst - GTM Analytics,Data Analyst,Thomson Reuters,"Bengaluru, Karnataka","Previous work experience with Marketing and Sales data.
Be a self-starter with a curiosity to explore large volumes of data and have the patience to extract,…",PostedPosted 25 days ago,?,2023-03-15,/rc/clk?jk=964751e5df2e8352&fccid=f4c6ed63cbcfdc0d&vjs=3
Data Analyst,Data Analyst,PiWheel,India,"2+ years of direct industry work experience in one or more of the following areas: data science, data analytics, or data engineering.",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=cb9f77761b8d1e18&fccid=810445fed17a103f&vjs=3
Business Analyst,Data Analyst,Freedom Property Investors,Remote,"Extensive experience with data visualization.
Familiarity with market research, analysing data and deriving insights.
Full-time permanent remote working.",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=f90814b28e48ed92&fccid=b9ef5e26031b642d&vjs=3
Business Analyst (Bioinformatics Tech Savy),Data Analyst,Sanskruti Solutions,"Wakad, Pune, Maharashtra",Hands-on experience applying computational algorithms and statistical methods to structured and unstructured big data.,PostedPosted 22 days ago,"₹6,00,000 - ₹18,00,000 a year",2023-03-15,/company/Sanskruti-Solutions/jobs/Business-Analyst-3c49ef1188a0e6d2?fccid=81dd559b9c7b9fa5&vjs=3
Data Analyst,Data Analyst,The CAI Store,"Mumbai, Maharashtra","Developing and maintaining databases, data systems – reorganizing data in a readable format.
Performing analysis to assess quality and meaning of data.",EmployerActive 1 day ago,"₹30,000 - ₹40,000 a month",2023-03-15,/company/The-Cai-Store/jobs/Data-Analyst-3df4c4931dd58bf9?fccid=e6f10f12a261622c&vjs=3
Clinical data analyst,Data Analyst,INDOGENIX BIOSCIENCES,"Thane, Maharashtra",We are looking for a data analyst who can maintain and keep up with the statistical intensity in neuropsychopharmacological research.,EmployerActive 1 day ago,"₹15,000 - ₹30,000 a month",2023-03-15,/company/INDOGENIX-BIOSCIENCES/jobs/Clinical-Data-Analyst-e6d36e1c099df5d3?fccid=e14d2d663bd69b49&vjs=3
Data Analyst,Data Analyst,Toolyt,"Bengaluru, Karnataka","Proven working experience as a data analyst or business data analyst.
Acquire data from primary or secondary data sources and maintain databases/data systems.",PostedPosted 23 days ago,"₹15,000 - ₹30,000 a month",2023-03-15,/rc/clk?jk=9e6dd15f01ac0c1f&fccid=7c44a6b6336c0e5d&vjs=3
WEB RESEARCH ANALYST,Data Analyst,Kamsys Techsolutions,"Coimbatore, Tamil Nadu",Research in internet for collecting databases based on the client requirement.,PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=1b0153bbe281bcaa&fccid=a31c04271230153f&vjs=3
