,title,job_role,companyName,job_location,Job_Summary,post_date,salary,today_date,Job_url
161,Natural Language Processing Engineer (Intern),Machine Learning Engineer,Stylumia Intelligence Technology,"Bengaluru, Karnataka","Must be able to fluently write code using machine learning libraries like PyTorch/Tensorflow.
Stylumia is one of its kind actionable intelligence platform using…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=da5a82cfc48e7fcf&fccid=15f728ac2ca54b2e&vjs=3
162,Software Test Engineer FT,Machine Learning Engineer,Nbyula,"Domlur, Bengaluru, Karnataka","\*Terraformer-The term 'Terraformers' refers to and is a sci-fi reference for planetary engineers- crafting entire terrains, hydrospheres, lithospheres, and…",PostedPosted 30+ days ago,"₹7,00,000 - ₹12,00,000 a year",2023-03-15,/company/Nbyula/jobs/Software-Test-Engineer-Ft-43607c67c3fe7e54?fccid=5379a4e408db0979&vjs=3
163,AI/ML Engineer,Machine Learning Engineer,Apping Technology,"Ahmedabad, Gujarat","Run machine learning tests and experiments.
Develop machine learning applications according to requirements.
Familiarity with machine learning frameworks (like…",EmployerActive 12 days ago,"₹20,000 - ₹48,253 a month",2023-03-15,/company/Apping-Technology/jobs/Ai-Ml-Engineer-240e1982a1cf35e3?fccid=cb196be5fd61661b&vjs=3
164,Machine Learning Engineer,Machine Learning Engineer,Fisker Inc,"Hyderabad, Telangana","Solid understanding of machine learning, deep learning frameworks, neural network architectures, and the principle of neural network engines.",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=0d06068a671394c6&fccid=38c354bb9b09f488&vjs=3
165,Machine Learning - CONSULTANT,Machine Learning Engineer,Atos,"Pune, Maharashtra","Responsible for designing , implementation, optimization of end to end AI/ML usecases.
Responsible for industrialization of the ML Models with all the best…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=155c8901b59b39ee&fccid=ee6a99db163236c2&vjs=3
166,Data Analyst,Machine Learning Engineer,Openspace Services,"Mumbai, Maharashtra",Implement analytical models into production by collaborating with software developers and machine learning engineers.,PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=777b729a42c059ff&fccid=f35880d51640f91d&vjs=3
167,"Machine Learning Engineer - Data Pre-processing, Pipeline, Streaming",Machine Learning Engineer,Zscaler,"Bengaluru, Karnataka","3+ years of prior work experience as a Software Engineer or ML platform engineer.
Very strong algorithm and programming skills in building out data collection…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=1ba8c52d96c56c06&fccid=b8ce556031512ca3&vjs=3
168,Machine Learning Engineer,Machine Learning Engineer,Adobe,"Noida, Uttar Pradesh","Strong software development skills that encourage code reuse among engineers and researchers.
Develop algorithms that use deep learning and traditional methods…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=85ffdb3d343af9ac&fccid=f89deb5a97c7738a&vjs=3
169,Robotics Perception Engineer,Machine Learning Engineer,Airbus,"Bengaluru, Karnataka","Scene interpretation (expert systems, machine learning).
Learning patterns over time (unsupervised learning).
3D sensing (laser based, stereo, time-of-flight, ……",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=8bcfe75927a713d7&fccid=2d0740e02e80cf22&vjs=3
170,Machine Learning Engineer / Sr. ML Engineer ,Machine Learning Engineer,Mysuru Consulting Group,Remote,"Perform data mining by applying machine learning and supervised or unsupervised learning algorithms.
Design and develop machine learning algorithms and deep…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=8095a712749096df&fccid=f0a8ae45f01e60ff&vjs=3
