,title,job_role,companyName,job_location,Job_Summary,post_date,salary,today_date,Job_url
12,Data Analytics Interns,Data Analyst,SmartInternz,"Remote in Hyderabad, Telangana","Participate in data quality assurance and testing to ensure accuracy and completeness of data.
Support the development of data analytics processes and…",PostedPosted 30+ days ago,"₹60,000 - ₹1,80,000 a year",2023-03-15,/rc/clk?jk=e47c14b0e8294ab0&fccid=87d7df9d597afef2&vjs=3
13,Risk Advisory Software Analyst,Data Analyst,KPMG India,"Bengaluru, Karnataka+1 location","Ensuring high quality work delivery within appropriate timeline and adhering to pre-defined methodologies in assigned projects, catering to intellectual…",PostedPosted 20 days ago,?,2023-03-15,/rc/clk?jk=969e1decc4ec58dd&fccid=2dd390c3a48a7ed0&vjs=3
14,Data Analyst (Women Only) - Exp in Collibra/Alation,Data Analyst,W beyond,"Bengaluru, Karnataka","Ability to define the data catalog, business glossary and data lineage for the source data Experience in using cloud based data governance tools Hands on…",EmployerActive 2 days ago,"₹5,00,000 - ₹25,00,000 a year",2023-03-15,/company/W-beyond/jobs/Data-Analyst-0185b5a34ecb1a5c?fccid=dd8aea41e8a6743e&vjs=3
15,Data Analyst - Hewlett Packard,Data Analyst,HP Inc,"Bengaluru, Karnataka","Graduate (any), data analysis training/certification preferred.
Applies intermediate level of subject matter knowledge to solve a variety of common business…",PostedPosted 30+ days ago,"₹7,00,000 - ₹10,00,000 a year",2023-03-15,/company/hp/jobs/Data-Analyst-1dd518f702c92f3a?fccid=c8eabfdb4fcf2d28&vjs=3
16,Senior Data Catalog Product Analyst,Data Analyst,Boston Consulting Group,"New Delhi, Delhi","Can explain data concepts like metadata, data governance, data dictionary, business glossary, data lineage and train users on using the Data Catalog platform.",PostedPosted 30+ days ago,?,2023-03-15,/pagead/clk?mo=r&ad=-6NYlbfkN0BRT_J8tESNZROimpc0WyD7EGfhllYDKcBPIyLxids1TTbUejwmjiSgq72YPe5icDm-vrnHojK4tZERC2CC28LEBskUUXAnV4QHcLb-J0UvRV746ZVlCh_uwbz38a5DdeSBb6EwbTiC7bv_A2relfmYbG5a65Z9-VfqlWkmnjK2fKongGYjSoVOHyCzVnh_dV9P0HTAg-4K6ZIvCWhl3DGtVE3XgXBzNN7WOYx7bNDMF2J7pOVAWUvCspgqwqCKYPufl7wYiGHBR9spro8khFJyyQZkVDQp5ycBVybNMKmYLiF2Ze2z4nMG5YcgQQ8OD24FSy5R4qYuhrfVSLDhxzLrBK4EejTV19fdy1TyE6ChDaDPT6ko1gX_R3DZW2LM84NkCPPgKNjvPN1QQLQTPyXw10Tyq-t2GhH25bAGIiIRFKFnBbKxthjsMPnuLby0euNXgoHW5oy__rjSa-D_8-MyR7XGWFoOLvqJS91_1P6shV9KECiWxZj5jPLGLO7Yr3oK791Az6C1F_BTvoJ3FQ2T&xkcb=SoBR-_M3Syq4cxwHmR0JbzkdCdPP&p=12&fvj=0&vjs=3
17,Research Analyst - ICT,Data Analyst,Mordor Intelligence,Remote,"Analyzing data sets in order to craft mission aligned messaging.
Use defined analytical tools and data visualization, where necessary.",PostedPosted 10 days ago,?,2023-03-15,/rc/clk?jk=721f0bae31a97853&fccid=7a9b0807a36852e7&vjs=3
18,Data Analyst,Data Analyst,Qualitest Group,"Remote in Chennai, Tamil Nadu+1 location","Have strong experience using a variety of data mining & analysis methods, using a variety of data tools to build, implement & execute models & simulations.",Hiring ongoing,"₹5,19,000 - ₹20,49,000 a year",2023-03-15,/company/Qualitest/jobs/Data-Analyst-28128ee090d1434c?fccid=1ff6b9c57ab507aa&vjs=3
19,MT/Analyst/APL - AML/KYC,Data Analyst,Escalent,Remote,"Leverage data management systems to track and report team performance.
Access experts across industries for maximum learning opportunities including Weekly…",PostedPosted 13 days ago,?,2023-03-15,/rc/clk?jk=8bb099d62d117d2a&fccid=32006ab449771908&vjs=3
20,Data Analyst,Data Analyst,SHC TECH,"Remote in Bengaluru, Karnataka","Strong ability to translate data insights into practical business recommendations - Depending on the specific tribe, squad and purpose, a mix of:",PostedPosted 30+ days ago,"₹6,00,000 - ₹9,00,000 a year",2023-03-15,/company/SHC-TECH/jobs/Data-Analyst-0e262644ce7c2ee7?fccid=da79474045f0ddff&vjs=3
21,Consumer Insights & Data Analytics,Data Analyst,Traya Health,"Mumbai, Maharashtra","Sole Owner of the website – Strategize, Plan, Execute, Measure multiple experiments across the website.
Build and maintain complex Business Intelligence models…",PostedPosted 30+ days ago,"₹8,00,000 - ₹10,00,000 a year",2023-03-15,/company/Traya-Health/jobs/Consumer-Insight-Data-Analytic-b72d2482f64fcbcd?fccid=94a318e2f2b653a1&vjs=3
